team,head_coach,offensive_coordinator,primary_play_caller,new_play_caller,qb_coaching_score,rb_coaching_score,wr_coaching_score,te_coaching_score,coaching_draft_signal,positions_to_target,positions_to_caution,confidence,fantasy_rationale,last_verified_date,qb_multiplier,rb_multiplier,wr_multiplier,te_multiplier
ARI,Mike LaFleur,Nathaniel Hackett,Mike LaFleur,Yes,+1,+2,+1,+1,Target,"QB, RB, WR, TE",None,High,"LaFleur brings McVay/Shanahan concepts, motion, play action and outside zone. His previous offenses involved RBs heavily in the passing game. Broad positive environment, with the strongest coaching signal at RB.",2026-08-09,1.015,1.030,1.015,1.015
ATL,Kevin Stefanski,Tommy Rees,Tommy Rees,Yes,0,0,0,+1,Selective Target,TE,None,Medium,Rees will call plays within a Stefanski influenced offense. The clearest coaching tendency worth using for fantasy is meaningful TE involvement. Avoid automatically boosting every Falcon.,2026-08-09,1.000,1.000,1.000,1.015
BAL,Jesse Minter,Declan Doyle,Declan Doyle,Yes,+1,0,0,+1,Selective Target,"QB, TE",None,Low,"Doyle is a first-time NFL play caller. Expected play action, motion and multi-TE concepts fit Baltimore's personnel, but uncertainty requires conservative adjustments.",2026-08-09,1.015,1.000,1.000,1.015
BUF,Joe Brady,Pete Carmichael Jr.,Joe Brady,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Brady already controlled the offense. His move to head coach does not justify adding another fantasy coaching adjustment.,2026-08-09,1.000,1.000,1.000,1.000
CAR,Dave Canales,Brad Idzik,Brad Idzik,Yes,0,0,0,0,No New Coaching Edge,None from coaching alone,None,Low,Idzik is taking over the calls but remains inside the existing Canales offense. Expect continuity rather than a completely new system. Not enough evidence for a preseason boost or downgrade.,2026-08-09,1.000,1.000,1.000,1.000
CHI,Ben Johnson,Press Taylor,Ben Johnson,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,"Taylor received the OC title, but Johnson remains the offensive architect and play caller.",2026-08-09,1.000,1.000,1.000,1.000
CIN,Zac Taylor,Dan Pitcher,Zac Taylor,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Same offensive structure and primary caller.,2026-08-09,1.000,1.000,1.000,1.000
CLE,Todd Monken,Travis Switzer,Todd Monken,Yes,+1,0,+1,+1,Target,"QB, WR, TE",None,High,"Monken has a strong history of aggressive downfield concepts, adapting to personnel and creating explosive passing opportunities. Do not automatically boost RB receiving volume.",2026-08-09,1.015,1.000,1.015,1.015
DAL,Brian Schottenheimer,Klayton Adams,Brian Schottenheimer,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Same primary caller and offensive structure.,2026-08-09,1.000,1.000,1.000,1.000
DEN,Sean Payton,Davis Webb,Davis Webb,Yes,+1,0,+1,0,Selective Target,"QB, WR",None,Medium,"Webb is officially taking over play calling while Payton remains the offensive architect and mentor. Potential for a slightly more aggressive passing environment, but Payton's system remains highly influential.",2026-08-09,1.015,1.000,1.015,1.000
DET,Dan Campbell,Drew Petzing,Dan Campbell,No,0,0,0,+1,Selective Target,TE,None,Medium,"Campbell currently handles the calls, so Petzing should be treated as a scheme/design influence rather than a completely new primary caller. Petzing's historically TE-friendly concepts still give TE a modest positive signal, but the effect is dampened because he is not the primary caller.",2026-08-09,1.000,1.000,1.000,1.015
GB,Matt LaFleur,Adam Stenavich,Matt LaFleur,No,0,0,0,0,No New Coaching Edge,None from coaching alone,None,High,Established LaFleur system and play calling.,2026-08-09,1.000,1.000,1.000,1.000
